GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,B18AA1990,B18AA2000,B18AB1990,B18AB2000,B18AC1990,B18AC2000,B18AD1990,B18AD2000,B18AE2000
"G0100010","Alabama","01","010","Autauga County","001","0010",27144,35221,6845,7473,71,194,162,378,405
"G0100030","Alabama","01","010","Baldwin County","003","0030",84565,122366,12640,14444,630,809,445,1330,1466
"G0100050","Alabama","01","010","Barbour County","005","0050",14118,14887,11194,13451,46,131,59,357,212
"G0100070","Alabama","01","010","Bibb County","007","0070",13052,15966,3478,4624,25,49,21,80,107
"G0100090","Alabama","01","010","Blount County","009","0090",38397,48512,521,606,133,250,197,1137,519
"G0100110","Alabama","01","010","Bullock County","011","0110",3036,2958,7986,8564,8,44,12,66,82
"G0100130","Alabama","01","010","Butler County","013","0130",13049,12492,8798,8732,24,45,21,46,84
"G0100150","Alabama","01","010","Calhoun County","015","0150",92873,88537,21578,20810,296,445,1287,1376,1081
"G0100170","Alabama","01","010","Chambers County","017","0170",23575,22271,13221,13943,41,49,39,111,209
"G0100190","Alabama","01","010","Cherokee County","019","0190",18154,22268,1291,1330,51,75,47,117,198
"G0100210","Alabama","01","010","Chilton County","021","0210",28647,34330,3674,4200,63,111,74,677,275
"G0100230","Alabama","01","010","Choctaw County","023","0230",8913,8779,7077,7027,10,25,18,24,67
"G0100250","Alabama","01","010","Clarke County","025","0250",15527,15589,11625,11989,45,62,43,91,136
"G0100270","Alabama","01","010","Clay County","027","0270",11044,11776,2166,2238,23,45,19,83,112
"G0100290","Alabama","01","010","Cleburne County","029","0290",12084,13380,587,523,20,42,39,69,109
"G0100310","Alabama","01","010","Coffee County","031","0310",32702,33631,6917,8013,163,396,458,845,730
"G0100330","Alabama","01","010","Colbert County","033","0330",42820,44825,8568,9137,137,205,141,330,487
"G0100350","Alabama","01","010","Conecuh County","035","0350",8063,7806,5925,6136,43,28,23,35,84
"G0100370","Alabama","01","010","Coosa County","037","0370",7242,7802,3782,4172,34,39,5,82,107
"G0100390","Alabama","01","010","Covington County","039","0390",31551,32436,4777,4648,72,181,78,133,233
"G0100410","Alabama","01","010","Crenshaw County","041","0410",10048,10088,3544,3388,27,51,16,43,95
"G0100430","Alabama","01","010","Cullman County","043","0430",66744,75011,560,743,134,290,175,644,795
"G0100450","Alabama","01","010","Dale County","045","0450",39365,36541,8847,10002,239,297,1182,1235,1054
"G0100470","Alabama","01","010","Dallas County","047","0470",20121,16496,27825,29332,41,50,143,232,255
"G0100490","Alabama","01","010","DeKalb County","049","0490",52980,59652,1028,1083,481,518,162,2158,1041
"G0100510","Alabama","01","010","Elmore County","051","0510",37850,50737,11039,13597,137,286,184,569,685
"G0100530","Alabama","01","010","Escambia County","053","0530",24326,24754,10046,11837,1047,1157,99,258,434
"G0100550","Alabama","01","010","Etowah County","055","0550",85274,85737,13799,15191,250,345,517,1223,963
"G0100570","Alabama","01","010","Fayette County","057","0570",15717,16075,2190,2207,9,38,46,80,95
"G0100590","Alabama","01","010","Franklin County","059","0590",26463,28001,1249,1314,57,103,45,1506,299
"G0100610","Alabama","01","010","Geneva County","061","0610",20682,22442,2824,2743,93,197,48,197,185
"G0100630","Alabama","01","010","Greene County","063","0630",1966,1904,8181,8013,3,12,3,18,27
"G0100650","Alabama","01","010","Hale County","065","0650",6255,6844,9214,10131,20,30,9,81,99
"G0100670","Alabama","01","010","Henry County","067","0670",9918,10710,5395,5268,31,34,30,177,121
"G0100690","Alabama","01","010","Houston County","069","0690",61513,64886,18954,21840,287,329,577,912,820
"G0100710","Alabama","01","010","Jackson County","071","0710",44696,49552,1968,2019,1020,946,112,332,1077
"G0100730","Alabama","01","010","Jefferson County","073","0730",418317,384639,228521,260608,889,1408,3798,10066,5326
"G0100750","Alabama","01","010","Lamar County","075","0750",13805,13816,1862,1906,24,18,24,83,81
"G0100770","Alabama","01","010","Lauderdale County","077","0770",71560,77743,7695,8663,165,223,241,641,696
"G0100790","Alabama","01","010","Lawrence County","079","0790",24563,27067,4798,4648,2124,1865,28,152,1071
"G0100810","Alabama","01","010","Lee County","081","0810",64889,85247,20407,26071,132,273,1718,2432,1069
